Rk;Squad;Country;LgRk;MP;W;D;L;GF;GA;GD;Pts;xG;Attendance;Top Team Scorer;Goalkeeper
1;Manchester City;ENG;1;38;29;6;3;99;26;73;93;89;52774;Kevin De Bruyne - 15;Ederson
2;Liverpool;ENG;2;38;28;8;2;94;26;68;92;89.2;53367;Mohamed Salah - 23;Alisson
3;Bayern Munich;GER;1;34;24;5;5;97;37;60;77;88.1;33176;Robert Lewandowski - 35;Manuel Neuer
4;Paris S-G;FRA;1;38;26;8;4;90;36;54;86;76.5;41188;Kylian Mbappé - 28;Keylor Navas
5;Real Madrid;ESP;1;38;26;8;4;80;31;49;86;74.3;41235;Karim Benzema - 27;Thibaut Courtois
6;Milan;ITA;1;38;26;8;4;69;31;38;86;63.1;42388;Olivier Giroud Rafael Leão - 11;Mike Maignan
7;Inter;ITA;2;38;25;9;4;84;32;52;84;81.4;41407;Lautaro Martínez - 21;Samir Handanovi?
8;Napoli;ITA;3;38;24;7;7;74;31;43;79;59.4;26681;Victor Osimhen - 14;David Ospina
9;Dortmund;GER;2;34;22;3;9;85;52;33;69;62.8;41800;Erling Haaland - 22;Gregor Kobel
10;Chelsea;ENG;3;38;21;11;6;76;33;43;74;67.2;36443;Mason Mount - 11;Edouard Mendy
11;Barcelona;ESP;2;38;21;10;7;68;38;30;73;62.1;53982;Memphis Depay - 12;Marc-André ter Stegen
12;Leverkusen;GER;3;34;19;7;8;80;47;33;64;63.3;17356;Patrik Schick - 24;Lukáš Hrádeck?
13;Tottenham;ENG;4;38;22;5;11;69;40;29;71;65.1;56523;Son Heung-min - 23;Hugo Lloris
14;Marseille;FRA;2;38;21;8;9;63;38;25;71;59.2;51082;Dimitri Payet - 12;Pau López
15;Atlético Madrid;ESP;3;38;21;8;9;65;43;22;71;52.8;48039;Ángel Correa - 12;Jan Oblak
16;Sevilla;ESP;4;38;18;16;4;53;30;23;70;43.7;29756;Rafa Mir - 10;Yassine Bounou
17;Juventus;ITA;4;38;20;10;8;57;37;20;70;51.5;21627;Paulo Dybala - 10;Wojciech Szcz?sny
18;Monaco;FRA;3;38;20;9;9;65;40;25;69;58;5870;Wissam Ben Yedder - 25;Alexander Nübel
19;Arsenal;ENG;5;38;22;3;13;61;48;13;69;59.9;59665;Bukayo Saka - 11;Aaron Ramsdale
20;Rennes;FRA;4;38;20;6;12;82;40;42;66;62.3;25309;Martin Terrier - 21;Alfred Gomis
21;Nice;FRA;5;38;20;7;11;52;36;16;66;57;15478;Andy Delort - 16;Walter Benítez
22;RB Leipzig;GER;4;34;17;7;10;72;37;35;58;63.4;22124;Christopher Nkunku - 20;Péter Gulácsi
23;Betis;ESP;5;38;19;8;11;62;40;22;65;55.1;41749;Juanmi - 16;Rui Silva
24;Lazio;ITA;5;38;18;10;10;77;58;19;64;55.8;21235;Ciro Immobile - 27;Thomas Strakosha
25;Union Berlin;GER;5;34;16;9;9;50;44;6;57;50.5;14046;Taiwo Awoniyi - 15;Andreas Luthe
26;Strasbourg;FRA;6;38;17;12;9;60;43;17;63;59.3;23462;Ludovic Ajorque - 12;Matz Sels
27;Roma;ITA;6;38;18;9;11;59;43;16;63;63.7;40745;Tammy Abraham - 17;Rui Patrício
28;Lens;FRA;7;38;17;11;10;62;48;14;62;52.8;28460;Arnaud Kalimuendo - 12;Jean-Louis Leca
29;Fiorentina;ITA;7;38;19;5;14;59;51;8;62;58.8;19801;Dušan Vlahovi? - 17;Pietro Terracciano
30;Real Sociedad;ESP;6;38;17;11;10;40;37;3;62;53.8;26813;Mikel Oyarzabal - 9;Álex Remiro
31;Freiburg;GER;6;34;15;10;9;58;46;12;55;49.9;18741;Vincenzo Grifo - 9;Mark Flekken
32;Lyon;FRA;8;38;17;11;10;66;51;15;61;70.4;31103;Moussa Dembélé - 21;Anthony Lopes
33;Villarreal;ESP;7;38;16;11;11;63;37;26;59;62.5;14293;Arnaut Groeneveld - 10;Gerónimo Rulli
34;Atalanta;ITA;8;38;16;11;11;65;48;17;59;66.2;10047;Mario Pašali? - 13;Juan Musso
35;Köln;GER;7;34;14;10;10;52;49;3;52;50.9;31965;Anthony Modeste - 20;Marvin Schwäbe
36;Manchester Utd;ENG;6;38;16;10;12;57;57;0;58;54.8;73150;Cristiano Ronaldo - 18;David de Gea
37;West Ham;ENG;7;38;16;8;14;60;51;9;56;49.9;58370;Jarrod Bowen - 12;?ukasz Fabia?ski
38;Nantes;FRA;9;38;15;10;13;55;48;7;55;43.9;20368;Randal Kolo Muani - 12;Alban Lafont
39;Athletic Club;ESP;8;38;14;13;11;43;36;7;55;50.1;32949;Iñaki Williams - 8;Unai Simón
40;Lille;FRA;10;38;14;13;11;48;48;0;55;52.4;34025;Jonathan David - 15;Ivo Grbi?
41;Hellas Verona;ITA;9;38;14;11;13;65;59;6;53;51.8;12343;Giovanni Simeone - 17;Lorenzo Montipò
42;Leicester City;ENG;8;38;14;10;14;62;59;3;52;50.8;32493;Jamie Vardy - 15;Kasper Schmeichel
43;Mainz 05;GER;8;34;13;7;14;50;45;5;46;51;17978;Jonathan Burkardt - 11;Robin Zentner
44;Hoffenheim;GER;9;34;13;7;14;58;60;-2;46;55.1;11227;Georginio Rutter - 8;Oliver Baumann
45;Brighton;ENG;9;38;12;15;11;42;44;-2;51;46;30966;Leandro Trossard Neal Maupay - 8;Robert Sánchez
46;Wolves;ENG;10;38;15;6;17;38;43;-5;51;35.9;30777;Raúl Jiménez - 6;José Sá
47;Torino;ITA;10;38;13;11;14;46;41;5;50;48.8;9160;Andrea Belotti - 8;Vanja Milinkovi?-Savi?
48;Sassuolo;ITA;11;38;13;11;14;64;66;-2;50;56;7638;Gianluca Scamacca - 16;Andrea Consigli
49;M'Gladbach;GER;10;34;12;9;13;54;61;-7;45;57.7;26539;Jonas Hofmann - 12;Yann Sommer
50;Newcastle Utd;ENG;11;38;13;10;15;44;62;-18;49;40.3;51487;Callum Wilson - 8;Martin Dúbravka
51;Crystal Palace;ENG;12;38;11;15;12;50;46;4;48;46.4;24541;Wilfried Zaha - 14;Vicente Guaita
52;Valencia;ESP;9;38;11;15;12;48;53;-5;48;39.3;27349;Gonçalo Guedes Carlos Soler - 11;Giorgi Mamardashvili
53;Brest;FRA;11;38;13;9;16;49;57;-8;48;45.2;11629;Franck Honorat - 11;Marco Bizot
54;Udinese;ITA;12;38;11;14;13;61;58;3;47;53.1;11655;Gerard Deulofeu - 13;Marco Silvestri
55;Eint Frankfurt;GER;11;34;10;12;12;45;49;-4;42;44.2;26162;Rafael Borré - 8;Kevin Trapp
56;Wolfsburg;GER;12;34;12;6;16;43;54;-11;42;48.8;12018;Lukas Nmecha - 8;Koen Casteels
57;Bochum;GER;13;34;12;6;16;38;52;-14;42;40.9;15125;Sebastian Polter - 10;Manuel Riemann
58;Osasuna;ESP;10;38;12;11;15;37;51;-14;47;37.1;17107;Ante Budimir - 8;Sergio Herrera
59;Celta Vigo;ESP;11;38;12;10;16;43;43;0;46;44.3;10014;Iago Aspas - 17;Matías Dituro
60;Reims;FRA;12;38;11;13;14;43;44;-1;46;38.7;10635;Hugo Ekitike - 10;Predrag Rajkovi?
61;Brentford;ENG;13;38;13;7;18;48;56;-8;46;47.8;16916;Ivan Toney - 12;David Raya
62;Bologna;ITA;13;38;12;10;16;44;55;-11;46;44.1;13845;Marko Arnautovi? - 14;?ukasz Skorupski
63;Aston Villa;ENG;14;38;13;6;19;52;54;-2;45;44;41681;Ollie Watkins - 11;Emiliano Martínez
64;Montpellier;FRA;13;38;12;7;19;49;61;-12;43;43.7;10218;Sepe Elye Wahi - 10;Jonas Omlin
65;Augsburg;GER;14;34;10;8;16;39;56;-17;38;38.1;15197;Michael Gregoritsch - 9;Rafa? Gikiewicz
66;Rayo Vallecano;ESP;12;38;11;9;18;39;50;-11;42;45.4;7866;Sergi Guardiola - 8;Stole Dimitrievski
67;Elche;ESP;13;38;11;9;18;40;52;-12;42;34.9;15640;Pere Milla - 8;Édgar Badía
68;Espanyol;ESP;14;38;10;12;16;40;53;-13;42;37.9;17277;Raúl de Tomás - 17;Diego López
69;Angers;FRA;14;38;10;11;17;44;55;-11;41;44.8;7370;Sofiane Boufal - 8;Danijel Petkovi?
70;Empoli;ITA;14;38;10;11;17;50;70;-20;41;46.6;6320;Andrea Pinamonti - 13;Guglielmo Vicario
71;Southampton;ENG;15;38;9;13;16;43;67;-24;40;46.8;30134;James Ward-Prowse - 10;Fraser Forster
72;Getafe;ESP;15;38;8;15;15;33;41;-8;39;29;8702;Enes Ünal - 16;David Soria
73;Cádiz;ESP;17;38;8;15;15;35;51;-16;39;41.5;14055;Anthony Lozano Álvaro Negredo - 7;Jeremías Ledesma
74;Everton;ENG;16;38;11;6;21;43;66;-23;39;42.8;38446;Richarlison - 10;Jordan Pickford
75;Mallorca;ESP;16;38;10;9;19;36;63;-27;39;40;12712;Vedat Muriqi Salva Sevilla - 5;Manolo Reina
76;Troyes;FRA;15;38;9;11;18;37;53;-16;38;39.5;8963;Xavier Chavalerin Ike Ugbo - 5;Gauthier Gallon
77;Granada;ESP;18;38;8;14;16;44;61;-17;38;41.5;13710;Jorge Molina - 10;Luís Maximiano
78;Leeds United;ENG;17;38;9;11;18;42;79;-37;38;47.2;36308;Raphael Dias Belloli - 11;Illan Meslier
79;Stuttgart;GER;15;34;7;12;15;41;59;-18;33;45.3;27052;Sasa Kalajdzic - 6;Florian Müller
